Name	Score	Repo
django	141.39192	django/django
sentry	31.861267	getsentry/sentry
realworld	9.895295	gothinkster/realworld
django-rest-framework	26.709898	encode/django-rest-framework
awesome-django	30.678251	rosarior/awesome-django
Zappa	21.987194	Miserlou/Zappa
django-cms	42.823368	divio/django-cms
wagtail	47.12781	wagtail/wagtail
django-debug-toolbar	23.214378	jazzband/django-debug-toolbar
graphite-web	34.451797	graphite-project/graphite-web
taiga-back	9.781528	taigaio/taiga-back
cabot	31.857594	arachnys/cabot
django-extensions	28.605873	django-extensions/django-extensions
django-allauth	29.862017	pennersr/django-allauth
django-tastypie	29.474178	django-tastypie/django-tastypie
mezzanine	23.59625	stephenmcd/mezzanine
Cactus	12.81117	eudicots/Cactus
cookiecutter-django	29.127071	pydanny/cookiecutter-django
django-crispy-forms	21.983849	django-crispy-forms/django-crispy-forms
django-oscar	46.379967	django-oscar/django-oscar
